Rating,Adjective
1,bad
1,poor
1,disappointing
1,very bad
1,defective
1,unhappy
1,slow
1,frustrating
1,awful
1,lousy
1,subpar
1,mediocre
1,unpleasant
1,insufficient
1,substandard
1,terrible
1,worthless
1,dismal
1,ineffective
1,lamentable
1,unfortunate
1,inadequate
1,underwhelming
1,pathetic
1,deficient
1,suboptimal
1,displeasing
1,below average
1,shoddy
1,rough
1,regrettable
1,poor quality
2,average
2,mediocre
2,okay
2,acceptable
2,satisfactory
2,decent
2,typical
2,ordinary
2,fair
2,passable
2,neutral
2,moderate
2,unremarkable
2,unexceptional
2,not bad
2,run-of-the-mill
2,standard
2,commonplace
2,average quality
2,undistinguished
2,middling
2,expected
2,unimpressive
2,unobjectionable
2,normal
2,conventional
2,adequate
2,regular
2,unspectacular
2,acceptable quality
2,mediocre quality
3,fine
3,okay
3,functional
3,decent
3,acceptable
3,adequate
3,standard
3,average
3,sufficient
3,competent
3,passable
3,reasonable
3,working
3,serviceable
3,solid
3,mediocre
3,unremarkable
3,modest
3,plain
3,acceptable standard
3,average quality
3,performing
3,capable
3,neutral
3,unexciting
3,unremarkable
3,good enough
4,good
4,great
4,exceeded
4,fast
4,worth
4,excellent
4,perfect
4,superior
4,impressive
4,commendable
4,outstanding
4,high quality
4,exceptional
4,superb
4,remarkable
4,notable
4,excellent value
4,first-rate
4,high standard
4,superlative
4,pleasing
4,reliable
4,commendable quality
4,excellent quality
4,worthy
4,amazing
5,excellent
5,fantastic
5,thrilled
5,exceptionally
5,outstanding
5,superb
5,top-notch
5,exceptional
5,perfect
5,unbelievable
5,extraordinary
5,remarkable
5,phenomenal
5,marvelous
5,outstanding quality
5,impressive
5,stunning
5,superlative
5,amazing
5,superior
5,world-class
5,exceptional quality
5,amazing quality
5,outstanding service
5,brilliant
